mlbam_id,player_name,team,age,games,BF,IP,IP_est,H,ER,RA,ERA,BB,SO,HR,HBP,WHIP,K9,BB9,pitches,Zone_pct,Whiff_pct,Chase_pct,CSW_pct,avg_velo,avg_spin_rpm,xwOBA_on_BIP,HH_pct_against,GB_pct_on_BIP
669416,Blayne Enlow,GWN,26,5,19,3.333,3.667,3,0,4,0,5,5,0,0,2.4,13.5,13.5,76,0.4079,0.3548,0.2222,0.3158,88.2013,2393.2933,,0.4444,0.6667
666619,Gregory Santos,SAC,26,4,22,3.333,3.667,5,2,5,5.4,5,2,0,1,3,5.4,13.5,80,0.375,0.2581,0.22,0.2125,96.7112,2373.4,,0.4286,0.6429
664129,Geoff Hartlieb,ATH,32,5,25,3.333,3.667,9,9,10,24.3,3,2,1,2,3.6,5.4,8.1,101,0.4455,0.175,0.1786,0.2376,89.9485,2394.7426,,0.4444,0.3889
548384,Brooks Raley,NYM,37,4,13,3.333,3.333,3,0,0,0,0,2,0,0,0.9,5.4,0,53,0.5472,0.1154,0.2917,0.2075,84.7151,2506.3585,,0.3636,0.2727
814492,Will Watson,BNG,23,1,12,3.333,3.333,2,0,0,0,0,2,0,0,0.6,5.4,0,40,0.5,0.1667,0.2,0.225,89.2375,2094.325,,0.6,0.2
663986,Trevor Stephan,COL,30,4,19,3.333,3.333,3,1,1,2.7,4,5,0,2,2.1,13.5,10.8,73,0.5342,0.2941,0.2059,0.274,85.8616,1975.411,,0.5,0.5
665660,Elvis Alvarado,ATH,27,3,16,3.333,3.333,4,0,1,0,3,2,0,0,2.1,5.4,8.1,63,0.5397,0.1935,0.3103,0.1905,94.9635,2204.9365,,0.6364,0.4545
701000,Ryan Och,SD,27,4,16,3.333,3.333,4,1,1,2.7,3,0,0,0,2.1,0,8.1,63,0.4762,0.15,0.0909,0.2222,87.7286,2033.6032,,0.6154,0.2308
686588,Blane Abeyta,COL,27,4,15,3.333,3.333,3,1,1,2.7,2,4,1,0,1.5,10.8,5.4,49,0.5918,0.2692,0.2,0.2857,86.9286,2300.9592,,0.2222,0.2222
695229,Camden Minacci,RCT,24,4,15,3.333,3.333,3,1,1,2.7,2,5,0,0,1.5,13.5,5.4,59,0.4746,0.3077,0.2903,0.339,90.5085,2132.6667,,0.5,0.625
702103,Zach Franklin,CWS,27,4,14,3.333,3.333,3,1,1,2.7,2,4,1,0,1.5,10.8,5.4,60,0.4333,0.2759,0.3235,0.2833,90.2153,2185.8644,,0.375,0.375
694331,Tyler Mattison,TOL,26,4,14,3.333,3.333,1,1,1,2.7,3,6,0,0,1.2,16.2,8.1,75,0.3067,0.4516,0.2692,0.28,90.72,2428.4267,,0.2,0.2
682044,Sean Boyle,ELP,29,2,14,3.333,3.333,3,1,1,2.7,1,4,1,0,1.2,10.8,2.7,39,0.4615,0.3158,0.2857,0.359,86.2333,2321.1538,,0.5556,0.3333
683101,JJ Goss,ATH,25,3,13,3.333,3.333,3,1,1,2.7,1,2,0,0,1.2,5.4,2.7,44,0.5455,0.15,0.15,0.2045,90.4651,1779.6977,,0.6,0.5
829272,Shinnosuke Ogasawara,WSH,28,2,13,3.333,3.333,1,1,1,2.7,2,5,1,0,0.9,13.5,5.4,62,0.5484,0.2424,0.3214,0.2903,82.4032,2141.5968,,0.1667,0.3333
701240,Ethan Routzahn,SD,27,4,16,3.333,3.333,4,3,3,8.1,1,2,1,1,1.5,5.4,2.7,47,0.5106,0.1304,0.2609,0.1915,86.0745,2091.0426,,0.25,0.3333
800018,Chen Zhong-Ao Zhuang,LV,25,2,15,3.333,3.333,5,3,3,8.1,0,1,2,0,1.5,2.7,0,47,0.5745,0.1154,0.15,0.1702,88.2255,2052.9362,,0.5,0.3571
802363,Jordan Geber,BNG,26,2,15,3.333,3.333,4,3,3,8.1,1,4,0,0,1.5,10.8,2.7,64,0.5156,0.129,0.2581,0.2031,91.2453,2286.8281,,0.5,0.3
700786,Ben Sears,NWA,25,5,17,3.333,3.333,6,4,4,10.8,1,5,1,0,2.1,13.5,2.7,79,0.5443,0.1667,0.2778,0.2911,89.0456,2301.557,,0.6364,0.3636
822038,Ryan Lambert,NYM,23,4,17,3.333,3.333,2,3,4,8.1,4,8,1,1,1.8,21.6,10.8,91,0.4725,0.3611,0.1875,0.2857,94.2604,2543.0659,,0.25,0.25
686769,Dane Acker,RR,26,4,14,3.333,3.333,3,4,4,10.8,1,3,2,0,1.2,8.1,2.7,55,0.4545,0.3043,0.2,0.3455,89.8436,2215.9818,,0.4,0.5
670871,Guillo Zuñiga,SEA,27,4,19,3.333,3.333,7,5,5,13.5,3,4,0,0,3,10.8,8.1,77,0.4286,0.2424,0.2273,0.2208,92.2184,2359.6316,,0.3333,0.3333
671143,Trenton Denholm,CLE,26,2,19,3.333,3.333,7,5,5,13.5,2,2,1,1,2.7,5.4,5.4,68,0.4412,0.1515,0.3684,0.2353,86.9221,1985.3235,,0.6429,0.4286
694393,Jaxon Wiggins,CHC,24,2,17,3.333,3.333,6,5,5,13.5,1,5,0,0,2.1,13.5,2.7,59,0.5932,0.2333,0.25,0.339,95.0051,2185.0508,,0.4545,0.3636
684725,Zach Messinger,SOM,26,2,16,3.333,3.333,6,5,5,13.5,0,3,1,1,1.8,8.1,0,47,0.5532,0.2,0.2381,0.2553,90.8979,2301.9787,,0.6667,0.4167
663542,Bryan Hudson,NYM,28,4,18,3.333,3.333,5,6,6,16.2,3,5,2,0,2.4,13.5,8.1,81,0.5432,0.3636,0.2703,0.284,88.4198,2176.284,,0.5,0.4
827734,Wei-En Lin,ATH,20,3,22,3.333,3.333,8,8,8,21.6,4,3,1,0,3.6,8.1,10.8,92,0.4239,0.1818,0.1509,0.2065,87.888,2194.6196,,0.3333,0.2667
694820,Braxton Roxby,SAC,26,3,10,3.333,3,1,0,0,0,2,0,0,0,0.9,0,5.4,34,0.4118,0.1538,0.3,0.2353,88.8324,2511.5882,,0.125,0.25
